,Date,Low,High,Close,Open
1002,1965-12-23 00:00:00,1.6437950134277344,1.6437950134277344,1.6586188750269963,1.6586188750269963
1001,1965-12-22 00:00:00,1.6660308837890625,1.6610895309287508,1.6915606154052378,1.6693249218641253
1000,1965-12-21 00:00:00,1.6693265438079834,1.652031989158377,1.672620782248925,1.6528556473512805
999,1965-12-20 00:00:00,1.6528546810150146,1.6405013926664633,1.6528546810150146,1.6421485109239515
998,1965-12-17 00:00:00,1.6421483755111694,1.6380306787896077,1.6462660722327311,1.643795493632835
997,1965-12-16 00:00:00,1.6437950134277344,1.639677317909083,1.6536775221055264,1.639677317909083
996,1965-12-15 00:00:00,1.6306191682815552,1.6306191682815552,1.6503843936970648,1.6503843936970648
995,1965-12-14 00:00:00,1.6685014963150024,1.6668543785633456,1.702267015893648,1.701443259852659
994,1965-12-13 00:00:00,1.701444149017334,1.694855871732872,1.7096795449142272,1.7063855048546281
993,1965-12-10 00:00:00,1.7063862085342407,1.7047390892425702,1.7080333278259114,1.7047390892425702
992,1965-12-09 00:00:00,1.6989734172821045,1.6899142662520004,1.699796779301425,1.6899142662520004
991,1965-12-08 00:00:00,1.684972882270813,1.681678645974515,1.6965025121426478,1.681678645974515
990,1965-12-07 00:00:00,1.6750901937484741,1.6594429654812286,1.6833257845893514,1.6594429654812286
989,1965-12-06 00:00:00,1.6536768674850464,1.6405001287423857,1.6750889940049687,1.668500723216173
988,1965-12-03 00:00:00,1.6685014963150024,1.6281478014774704,1.6685014963150024,1.652030515963594
987,1965-12-02 00:00:00,1.6520321369171143,1.6520321369171143,1.6825034508905228,1.6825034508905228
986,1965-12-01 00:00:00,1.6997970342636108,1.6997970342636108,1.7385035330825613,1.7294447750241517
985,1965-11-30 00:00:00,1.729444146156311,1.7195616352180727,1.7409737751117877,1.7393266570945494
984,1965-11-29 00:00:00,1.739326000213623,1.739326000213623,1.7607381320207454,1.7607381320207454
983,1965-11-26 00:00:00,1.7640321254730225,1.7632083697230123,1.7681497212325277,1.7640321254730225
982,1965-11-24 00:00:00,1.7640321254730225,1.7590907739635069,1.7739146313269625,1.7640321254730225
981,1965-11-23 00:00:00,1.7640321254730225,1.7640321254730225,1.7813264614261448,1.7805029028412254
980,1965-11-22 00:00:00,1.7805050611495972,1.7805050611495972,1.8249766871479725,1.787093537815429
979,1965-11-19 00:00:00,1.7870922088623047,1.7821508550375187,1.7953276014050978,1.7870922088623047
978,1965-11-18 00:00:00,1.7870922088623047,1.7870922088623047,1.7953276014050978,1.7953276014050978
977,1965-11-17 00:00:00,1.798622727394104,1.7920342523672057,1.8085052427691704,1.7920342523672057
976,1965-11-16 00:00:00,1.7879163026809692,1.773916188775815,1.7879163026809692,1.773916188775815
975,1965-11-15 00:00:00,1.77391517162323,1.77391517162323,1.7821505628156538,1.77391517162323
974,1965-11-12 00:00:00,1.7722702026367188,1.7590934424543603,1.7739173223051874,1.760740562122829
973,1965-11-11 00:00:00,1.7607401609420776,1.7541518809347185,1.7607401609420776,1.7566223627091375
972,1965-11-10 00:00:00,1.7566221952438354,1.7508574754326365,1.7607399930842107,1.7541517137049367
971,1965-11-09 00:00:00,1.754149079322815,1.754149079322815,1.7689727349553386,1.7689727349553386
970,1965-11-08 00:00:00,1.77391517162323,1.760738427416261,1.77391517162323,1.76732670093717
969,1965-11-05 00:00:00,1.7673263549804688,1.765679434796492,1.7739148243768263,1.7706205896786475
968,1965-11-04 00:00:00,1.7706218957901,1.7623865001348693,1.772269014354198,1.7623865001348693
967,1965-11-03 00:00:00,1.7619739770889282,1.7574445012779218,1.7619739770889282,1.7574445012779218
966,1965-11-01 00:00:00,1.7557969093322754,1.7467379601557618,1.7557969093322754,1.7557969093322754
965,1965-10-29 00:00:00,1.7553032636642456,1.7454235342154574,1.7553032636642454,1.7503634974947009
964,1965-10-28 00:00:00,1.750362515449524,1.7437759014393015,1.753655822454635,1.7470692084444128
963,1965-10-27 00:00:00,1.7470699548721313,1.7306038070306657,1.7503632632842936,1.7306038070306657
962,1965-10-26 00:00:00,1.7256642580032349,1.7223709488017636,1.7421306069008713,1.7371906430986643
961,1965-10-25 00:00:00,1.7371913194656372,1.7338980089819316,1.7404846299493428,1.7404846299493428
960,1965-10-22 00:00:00,1.7421306371688843,1.7388373279101945,1.7536570224645747,1.7388373279101945
959,1965-10-21 00:00:00,1.7371913194656372,1.7338980089819316,1.7437777433232517,1.7371913194656372
958,1965-10-20 00:00:00,1.7371913194656372,1.7149616708104207,1.7371913194656372,1.7182549812941263
957,1965-10-19 00:00:00,1.7182538509368896,1.7157840668086604,1.7223704863333837,1.7157840668086604
956,1965-10-18 00:00:00,1.7141376733779907,1.7026112896242604,1.7182541122909463,1.705081271237852
955,1965-10-15 00:00:00,1.7050812244415283,1.6968481497318786,1.7059045516234626,1.6968481497318786
954,1965-10-14 00:00:00,1.6960246562957764,1.6960246562957764,1.7026110759959188,1.6993177675910114
953,1965-10-13 00:00:00,1.699318528175354,1.6894387956483141,1.704258492993754,1.6952020879364476
952,1965-10-12 00:00:00,1.695200800895691,1.687790859293912,1.710020486989638,1.709196963035385
951,1965-10-11 00:00:00,1.7091984748840332,1.7009653962647633,1.7124917851756551,1.7009653962647633
950,1965-10-08 00:00:00,1.6960246562957764,1.692731347890869,1.6993177675910114,1.692731347890869
949,1965-10-07 00:00:00,1.6828514337539673,1.6828514337539673,1.6931429228267876,1.691084506746433
948,1965-10-06 00:00:00,1.6910847425460815,1.682851668405621,1.6910847425460815,1.6844983226556487
947,1965-10-05 00:00:00,1.68449866771698,1.6795587039549693,1.689438434369272,1.6795587039549693
